,state,county,population,households,unique_id
0,01,001,55200,21115.0,01001
1,01,003,208107,78622.0,01003
2,01,005,25782,9186.0,01005
3,01,007,22527,6840.0,01007
4,01,009,57645,20600.0,01009
5,01,011,10352,3609.0,01011
6,01,013,20025,6708.0,01013
7,01,015,115098,45033.0,01015
8,01,017,33826,13516.0,01017
9,01,019,25853,10606.0,01019
10,01,021,43930,16751.0,01021
11,01,023,13075,5350.0,01023
12,01,025,24387,9358.0,01025
13,01,027,13378,5236.0,01027
14,01,029,14938,5726.0,01029
15,01,031,51288,19789.0,01031
16,01,033,54495,21799.0,01033
17,01,035,12514,4574.0,01035
18,01,037,10855,4103.0,01037
19,01,039,37351,15008.0,01039
20,01,041,13865,5025.0,01041
21,01,043,82313,30730.0,01043
22,01,045,49255,18670.0,01045
23,01,047,40029,16336.0,01047
24,01,049,71200,26132.0,01049
25,01,051,81212,29143.0,01051
26,01,053,37328,13428.0,01053
27,01,055,102939,38777.0,01055
28,01,057,16585,6947.0,01057
29,01,059,31542,11210.0,01059
30,01,061,26491,10479.0,01061
31,01,063,8426,2955.0,01063
32,01,065,14887,5658.0,01065
33,01,067,17124,6669.0,01067
34,01,069,104352,39253.0,01069
35,01,071,52094,20626.0,01071
36,01,073,659892,260924.0,01073
37,01,075,13933,5974.0,01075
38,01,077,92585,38514.0,01077
39,01,079,33171,12811.0,01079
40,01,081,159287,59373.0,01081
41,01,083,93052,32126.0,01083
42,01,085,10236,4180.0,01085
43,01,087,19054,7637.0,01087
44,01,089,357560,145256.0,01089
45,01,091,19538,7768.0,01091
46,01,093,29965,12212.0,01093
47,01,095,95145,34896.0,01095
48,01,097,414659,155831.0,01097
49,01,099,21512,8149.0,01099
50,01,101,226941,89835.0,01101
51,01,103,119122,45646.0,01103
52,01,105,9486,3079.0,01105
53,01,107,20298,7530.0,01107
54,01,109,33403,11547.0,01109
55,01,111,22574,8643.0,01111
56,01,113,58213,22740.0,01113
57,01,115,87306,32172.0,01115
58,01,117,211261,78328.0,01117
59,01,119,12985,5047.0,01119
60,01,121,80565,31407.0,01121
61,01,123,40636,16448.0,01123
62,01,125,206213,72379.0,01125
63,01,127,64493,25036.0,01127
64,01,129,16643,6007.0,01129
65,01,131,10809,3804.0,01131
66,01,133,23875,9403.0,01133
67,02,013,3425,860.0,02013
68,02,016,5750,1176.0,02016
69,02,020,296112,106524.0,02020
70,02,050,18040,4558.0,02050
71,02,060,890,333.0,02060
72,02,068,2232,639.0,02068
73,02,070,4975,1420.0,02070
74,02,090,99653,36513.0,02090
75,02,100,2518,1026.0,02100
76,02,105,2132,799.0,02105
77,02,110,32330,12521.0,02110
78,02,122,58220,21741.0,02122
79,02,130,13804,5327.0,02130
80,02,150,13649,4373.0,02150
81,02,158,8198,1692.0,02158
82,02,164,1375,425.0,02164
83,02,170,103464,30879.0,02170
84,02,180,9925,2875.0,02180
85,02,185,9797,1966.0,02185
86,02,188,7734,1860.0,02188
87,02,195,3255,1170.0,02195
88,02,198,6474,2356.0,02198
89,02,220,8738,3561.0,02220
90,02,230,1061,400.0,02230
91,02,240,6876,2163.0,02240
92,02,261,9301,3093.0,02261
93,02,275,2484,1074.0,02275
94,02,282,689,232.0,02282
95,02,290,5415,1906.0,02290
96,04,001,71522,20395.0,04001
97,04,003,126279,49250.0,04003
98,04,005,140217,47276.0,04005
99,04,007,53400,21708.0,04007
100,04,009,37879,10782.0,04009
101,04,011,9504,3225.0,04011
102,04,012,20701,8912.0,04012
103,04,013,4253913,1520767.0,04013
104,04,015,206064,85485.0,04015
105,04,017,108705,34407.0,04017
106,04,019,1019722,400907.0,04019
107,04,021,419721,137286.0,04021
108,04,023,46584,15430.0,04023
109,04,025,224645,96007.0,04025
110,04,027,207829,72463.0,04027
111,05,001,18124,7682.0,05001
112,05,003,20537,7915.0,05003
113,05,005,41219,18370.0,05005
114,05,007,258980,94333.0,05007
115,05,009,37288,14870.0,05009
116,05,011,10948,4537.0,05011
117,05,013,5202,1936.0,05013
118,05,015,27887,11161.0,05015
119,05,017,10826,4308.0,05017
120,05,019,22385,8505.0,05019
121,05,021,15061,6441.0,05021
122,05,023,25230,10731.0,05023
123,05,025,8226,3292.0,05025
124,05,027,23892,8962.0,05027
125,05,029,20906,8475.0,05029
126,05,031,105701,40800.0,05031
127,05,033,62472,23701.0,05033
128,05,035,49013,18756.0,05035
129,05,037,16998,6694.0,05037
130,05,039,7432,3033.0,05039
131,05,041,11887,5111.0,05041
132,05,043,18502,7018.0,05043
133,05,045,122416,44095.0,05045
134,05,047,17780,6800.0,05047
135,05,049,12139,5000.0,05049
136,05,051,98296,39894.0,05051
137,05,053,18086,6780.0,05053
138,05,055,44623,16879.0,05055
139,05,057,22018,7971.0,05057
140,05,059,33520,12377.0,05059
141,05,061,13389,5096.0,05061
142,05,063,37264,14268.0,05063
143,05,065,13559,5049.0,05065
144,05,067,17225,6095.0,05067
145,05,069,70424,26977.0,05069
146,05,071,26291,9800.0,05071
147,05,073,6915,2859.0,05073
148,05,075,16669,6531.0,05075
149,05,077,9398,3352.0,05077
150,05,079,13695,3795.0,05079
151,05,081,12417,5440.0,05081
152,05,083,21757,8464.0,05083
153,05,085,72206,26868.0,05085
154,05,087,16076,6195.0,05087
155,05,089,16438,6669.0,05089
156,05,091,43759,16748.0,05091
157,05,093,42831,16888.0,05093
158,05,095,7249,3326.0,05095
159,05,097,8993,3761.0,05097
160,05,099,8440,3303.0,05099
161,05,101,7848,2899.0,05101
162,05,103,24106,10055.0,05103
163,05,105,10322,3708.0,05105
164,05,107,19034,7498.0,05107
165,05,109,10808,4299.0,05109
166,05,111,24054,9437.0,05111
167,05,113,20163,8204.0,05113
168,05,115,63644,22628.0,05115
169,05,117,8244,3826.0,05117
170,05,119,393463,157083.0,05119
171,05,121,17603,7455.0,05121
172,05,123,26294,9319.0,05123
173,05,125,118009,43604.0,05125
174,05,127,10442,3855.0,05127
175,05,129,7923,3271.0,05129
176,05,131,127461,50670.0,05131
177,05,133,17193,5854.0,05133
178,05,135,17043,7354.0,05135
179,05,137,12446,4954.0,05137
180,05,139,39732,15904.0,05139
181,05,141,16684,6852.0,05141
182,05,143,228529,85891.0,05143
183,05,145,78804,29263.0,05145
184,05,147,6660,2890.0,05147
185,05,149,21573,7491.0,05149
186,06,001,1643700,572870.0,06001
187,06,003,1146,299.0,06003
188,06,005,37829,14090.0,06005
189,06,007,227075,86797.0,06007
190,06,009,45235,17417.0,06009
191,06,011,21464,7113.0,06011
192,06,013,1133247,392277.0,06013
193,06,015,27424,9799.0,06015
194,06,017,186661,69172.0,06017
195,06,019,978130,304624.0,06019
196,06,021,27897,10017.0,06021
197,06,023,135768,54267.0,06023
198,06,025,180216,44057.0,06025
199,06,027,18085,8083.0,06027
200,06,029,883053,267913.0,06029
201,06,031,150075,42735.0,06031
202,06,033,64148,25966.0,06033
203,06,035,31185,9493.0,06035
204,06,037,10098052,3306109.0,06037
205,06,039,155013,44759.0,06039
206,06,041,260295,105258.0,06041
207,06,043,17540,7700.0,06043
208,06,045,87422,34090.0,06045
209,06,047,269075,79606.0,06047
210,06,049,8938,3660.0,06049
211,06,051,14174,4847.0,06051
212,06,053,433212,126052.0,06053
213,06,055,140530,49032.0,06055
214,06,057,99092,40904.0,06057
215,06,059,3164182,1032373.0,06059
216,06,061,380077,140661.0,06061
217,06,063,18699,8047.0,06063
218,06,065,2383286,718349.0,06065
219,06,067,1510023,536029.0,06067
220,06,069,59416,17740.0,06069
221,06,071,2135413,630633.0,06071
222,06,073,3302833,1118980.0,06073
223,06,075,870044,359673.0,06075
224,06,077,732212,226727.0,06077
225,06,079,281455,105317.0,06079
226,06,081,765935,261969.0,06081
227,06,083,443738,144962.0,06083
228,06,085,1922200,635525.0,06085
229,06,087,273765,95756.0,06087
230,06,089,179085,70473.0,06089
231,06,091,2930,1241.0,06091
232,06,093,43540,19257.0,06093
233,06,095,438530,149067.0,06095
234,06,097,501317,189339.0,06097
235,06,099,539301,172682.0,06099
236,06,101,95872,32360.0,06101
237,06,103,63373,24025.0,06103
238,06,105,12862,5796.0,06105
239,06,107,460477,136106.0,06107
240,06,109,53932,22427.0,06109
241,06,111,848112,271226.0,06111
242,06,113,214977,73510.0,06113
243,06,115,75493,26179.0,06115
244,08,001,497115,164353.0,08001
245,08,003,16444,6153.0,08003
246,08,005,636671,237559.0,08005
247,08,007,12908,5670.0,08007
248,08,009,3563,1642.0,08009
249,08,011,5809,1744.0,08011
250,08,013,321030,125894.0,08013
251,08,014,66120,26721.0,08014
252,08,015,19164,7958.0,08015
253,08,017,2039,742.0,08017
254,08,019,9379,4640.0,08019
255,08,021,8142,3068.0,08021
256,08,023,3687,1687.0,08023
257,08,025,5630,1194.0,08025
258,08,027,4640,2083.0,08027
259,08,029,30346,11882.0,08029
260,08,031,693417,294358.0,08031
261,08,033,1841,740.0,08033
262,08,035,328614,117426.0,08035
263,08,037,54357,17750.0,08037
264,08,039,25162,9046.0,08039
265,08,041,688153,253379.0,08041
266,08,043,47002,17163.0,08043
267,08,045,58538,21138.0,08045
268,08,047,5924,2653.0,08047
269,08,049,15066,5823.0,08049
270,08,051,16537,6643.0,08051
271,08,053,878,387.0,08053
272,08,055,6583,3282.0,08055
273,08,057,1296,575.0,08057
274,08,059,570427,230153.0,08059
275,08,061,1449,593.0,08061
276,08,063,7635,2977.0,08063
277,08,065,7585,3353.0,08065
278,08,067,55101,21793.0,08067
279,08,069,338161,133527.0,08069
280,08,071,14179,6477.0,08071
281,08,073,5548,1520.0,08073
282,08,075,21689,8183.0,08075
283,08,077,149998,61033.0,08077
284,08,079,823,375.0,08079
285,08,081,13060,5210.0,08081
286,08,083,25909,10615.0,08083
287,08,085,41268,17125.0,08085
288,08,087,28257,10785.0,08087
289,08,089,18325,7691.0,08089
290,08,091,4722,2194.0,08091
291,08,093,17392,7119.0,08093
292,08,095,4318,1668.0,08095
293,08,097,17909,7018.0,08097
294,08,099,12052,4963.0,08099
295,08,101,164685,63762.0,08101
296,08,103,6465,2403.0,08103
297,08,105,11351,4504.0,08105
298,08,107,24874,9552.0,08107
299,08,109,6468,2645.0,08109
300,08,111,544,266.0,08111
301,08,113,7968,3441.0,08113
302,08,115,2350,1017.0,08115
303,08,117,30429,9707.0,08117
304,08,119,24113,10183.0,08119
305,08,121,4840,2030.0,08121
306,08,123,295123,102101.0,08123
307,08,125,10069,4051.0,08125
308,09,001,944348,340491.0,09001
309,09,003,894730,349064.0,09003
310,09,005,183031,73987.0,09005
311,09,007,163368,66892.0,09007
312,09,009,859339,329857.0,09009
313,09,011,268881,107402.0,09011
314,09,013,151269,55232.0,09013
315,09,015,116538,44449.0,09015
316,10,001,174822,64545.0,10001
317,10,003,555133,203855.0,10003
318,10,005,219540,89365.0,10005
319,11,001,684498,281322.0,11001
320,12,001,263148,97048.0,12001
321,12,003,27785,8625.0,12003
322,12,005,182482,70199.0,12005
323,12,007,26979,8993.0,12007
324,12,009,576808,228888.0,12009
325,12,011,1909151,682088.0,12011
326,12,013,14444,4556.0,12013
327,12,015,176954,76150.0,12015
328,12,017,143087,62762.0,12017
329,12,019,207291,73398.0,12019
330,12,021,363922,140942.0,12021
331,12,023,69105,24985.0,12023
332,12,027,36399,11996.0,12027
333,12,029,16437,6520.0,12029
334,12,031,924229,354387.0,12031
335,12,033,311522,118740.0,12033
336,12,035,107139,40629.0,12035
337,12,037,11736,4297.0,12037
338,12,039,46017,17080.0,12039
339,12,041,17615,6511.0,12041
340,12,043,13363,4433.0,12043
341,12,045,16055,5359.0,12045
342,12,047,14269,4485.0,12047
343,12,049,27228,7772.0,12049
344,12,051,40127,12027.0,12051
345,12,053,182696,73541.0,12053
346,12,055,102101,41026.0,12055
347,12,057,1378883,516478.0,12057
348,12,059,19430,7016.0,12059
349,12,061,150984,57403.0,12061
350,12,063,48472,16894.0,12063
351,12,065,14105,5771.0,12065
352,12,067,8744,2095.0,12067
353,12,069,335362,130190.0,12069
354,12,071,718679,271861.0,12071
355,12,073,288102,112918.0,12073
356,12,075,39961,16433.0,12075
357,12,077,8365,2381.0,12077
358,12,079,18474,6682.0,12079
359,12,081,373853,143652.0,12081
360,12,083,348371,136514.0,12083
361,12,085,157581,63865.0,12085
362,12,086,2715516,870051.0,12086
363,12,087,76325,30982.0,12087
364,12,089,80578,31241.0,12089
365,12,091,200737,77403.0,12091
366,12,093,40572,13759.0,12093
367,12,095,1321194,458613.0,12095
368,12,097,338619,99158.0,12097
369,12,099,1446277,548216.0,12099
370,12,101,510593,199227.0,12101
371,12,103,957875,407720.0,12103
372,12,105,668671,231260.0,12105
373,12,107,72766,28264.0,12107
374,12,109,235503,86268.0,12109
375,12,111,305591,112872.0,12111
376,12,113,170442,61345.0,12113
377,12,115,412144,180551.0,12115
378,12,117,455086,167304.0,12117
379,12,119,120999,54636.0,12119
380,12,121,43924,15083.0,12121
381,12,123,22098,7356.0,12123
382,12,125,15239,3892.0,12125
383,12,127,527634,212985.0,12127
384,12,129,31877,11068.0,12129
385,12,131,65858,26432.0,12131
386,12,133,24566,8484.0,12133
387,13,001,18454,6682.0,13001
388,13,003,8265,2785.0,13003
389,13,005,11228,3966.0,13005
390,13,007,3189,1385.0,13007
391,13,009,45286,16122.0,13009
392,13,011,18510,6603.0,13011
393,13,013,76887,25319.0,13013
394,13,015,103620,37351.0,13015
395,13,017,17154,6569.0,13017
396,13,019,19025,7322.0,13019
397,13,021,153490,58010.0,13021
398,13,023,12775,4168.0,13023
399,13,025,18561,6564.0,13025
400,13,027,15622,6350.0,13027
401,13,029,35885,12636.0,13029
402,13,031,74782,26955.0,13031
403,13,033,22550,8184.0,13033
404,13,035,23750,8157.0,13035
405,13,037,6428,1853.0,13037
406,13,039,52714,19327.0,13039
407,13,043,10827,3965.0,13043
408,13,045,116022,41150.0,13045
409,13,047,66299,24636.0,13047
410,13,049,12983,3559.0,13049
411,13,051,287049,108151.0,13051
412,13,053,10767,2550.0,13053
413,13,055,24817,9098.0,13055
414,13,057,241910,85825.0,13057
415,13,059,124602,47224.0,13059
416,13,061,3001,1202.0,13061
417,13,063,278666,92845.0,13063
418,13,065,6743,2502.0,13065
419,13,067,745057,277222.0,13067
420,13,069,42961,14298.0,13069
421,13,071,45606,15374.0,13071
422,13,073,147295,46840.0,13073
423,13,075,17184,6233.0,13075
424,13,077,140516,51308.0,13077
425,13,079,12344,4637.0,13079
426,13,081,22846,8329.0,13081
427,13,083,16227,6070.0,13083
428,13,085,23861,8711.0,13085
429,13,087,26833,10153.0,13087
430,13,089,743187,277757.0,13089
431,13,091,20919,7694.0,13091
432,13,093,13905,4861.0,13093
433,13,095,91049,34780.0,13095
434,13,097,141840,48968.0,13097
435,13,099,10348,4082.0,13099
